"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Albert Wilson","MIA","2.6","32.4","0.2","0.5","2.7","0.0","0.0","4.6"
"Calvin Ridley","ATL","2.6","33.7","0.2","0.0","0.2","0.0","0.0","4.6"
"Chris Godwin","TB","2.7","36.1","0.2","0.0","0.0","0.0","0.0","4.6"
"Michael Gallup","DAL","2.5","32.5","0.2","0.0","0.3","0.0","0.0","4.4"
"Mike Williams","LAC","2.5","30.5","0.2","0.0","0.0","0.0","0.0","4.3"
"Travis Benjamin","LAC","2.0","28.6","0.2","0.7","4.7","0.0","0.0","4.3"
"Dante Pettis","SF","2.3","30.2","0.2","0.0","0.2","0.0","0.0","4.3"
"John Ross","CIN","2.5","31.0","0.2","0.3","1.7","0.0","0.0","4.2"
"Anthony Miller","CHI","2.4","31.4","0.2","0.1","0.6","0.0","0.0","4.1"
"Willie Snead","BAL","3.0","33.2","0.1","0.0","0.0","0.0","0.0","4.0"
"Christian Kirk","ARI","2.7","30.9","0.1","0.0","0.2","0.0","0.0","3.9"
"Tyler Boyd","CIN","2.7","28.9","0.1","0.0","0.4","0.0","0.0","3.8"
"Trent Taylor","SF","2.7","29.4","0.2","0.0","0.0","0.0","0.0","3.8"
"Taylor Gabriel","CHI","2.4","29.2","0.1","0.2","1.1","0.0","0.0","3.8"
"Laquon Treadwell","MIN","2.3","28.1","0.2","0.0","0.0","0.0","0.0","3.8"
"Austin Carr","NO","2.1","26.5","0.2","0.0","0.2","0.0","0.0","3.7"
"Jaron Brown","SEA","1.8","26.8","0.2","0.0","0.0","0.0","0.0","3.7"
"Zay Jones","BUF","2.3","28.9","0.1","0.0","0.0","0.0","0.0","3.6"
"Tajae Sharpe","TEN","2.0","26.8","0.1","0.0","0.0","0.0","0.0","3.5"
"Seth Roberts","OAK","2.6","27.7","0.1","0.0","0.0","0.0","0.1","3.5"
"Chester Rogers","IND","2.1","27.0","0.1","0.1","0.6","0.0","0.0","3.5"
"Chad Williams","ARI","2.3","27.2","0.1","0.1","1.2","0.0","0.1","3.4"
"Bruce Ellington","HOU","2.2","25.0","0.1","0.1","0.5","0.0","0.0","3.4"
"Adam Humphries","TB","2.5","26.5","0.1","0.1","0.3","0.0","0.0","3.2"
"Curtis Samuel","CAR","2.0","22.2","0.1","0.5","4.2","0.0","0.0","3.2"
"Terrance Williams","DAL","2.1","24.9","0.1","0.1","0.7","0.0","0.0","3.1"
"Terrelle Pryor","NYJ","1.9","23.4","0.1","0.2","0.9","0.0","0.0","3.1"
"Torrey Smith","CAR","1.9","24.3","0.1","0.0","0.0","0.0","0.0","3.1"
"Cordarrelle Patterson","NE","1.9","18.0","0.1","1.0","6.9","0.0","0.0","2.9"
"Jeremy Kerley","BUF","2.1","22.2","0.1","0.0","0.0","0.0","0.0","2.8"
"D.J. Moore","CAR","1.5","19.5","0.1","0.1","0.7","0.0","0.0","2.7"
"Antonio Callaway","CLE","1.5","21.0","0.1","0.0","0.2","0.0","0.0","2.7"
"Cody Latimer","NYG","1.7","20.7","0.1","0.0","0.0","0.0","0.0","2.7"
"Taywan Taylor","TEN","1.5","19.5","0.1","0.3","1.7","0.0","0.0","2.7"
"Rashard Higgins","CLE","1.6","21.6","0.1","0.0","0.1","0.0","0.0","2.6"
"TJ Jones","DET","1.6","21.1","0.1","0.0","0.0","0.0","0.0","2.6"
"Jarius Wright","CAR","1.6","19.7","0.1","0.0","0.1","0.0","0.0","2.6"
"J.J. Nelson","ARI","1.3","20.9","0.1","0.1","1.1","0.0","0.1","2.6"
"James Washington","PIT","1.2","16.8","0.1","0.0","0.2","0.0","0.0","2.6"
"Justin Hunter","PIT","1.1","15.7","0.2","0.0","0.0","0.0","0.0","2.5"
"Chris Conley","KC","1.5","18.9","0.1","0.0","0.0","0.0","0.0","2.4"
"Tre'Quan Smith","NO","1.3","17.1","0.1","0.0","0.2","0.0","0.0","2.3"
"Deonte Thompson","DAL","1.3","17.5","0.1","0.0","0.0","0.0","0.0","2.3"
"Jakeem Grant","MIA","1.3","17.3","0.1","0.1","0.4","0.0","0.0","2.2"
"Brandon LaFell","OAK","1.3","14.5","0.1","0.0","0.0","0.0","0.0","2.0"
"D.J. Chark","JAC","1.1","14.8","0.1","0.0","0.3","0.0","0.0","1.9"
"Justin Hardy","ATL","0.9","11.2","0.1","0.0","0.1","0.0","0.0","1.7"
"DeAndre Carter","PHI","1.0","13.1","0.1","0.0","0.2","0.0","0.1","1.7"
"Keke Coutee","HOU","1.1","13.1","0.1","0.0","0.0","0.0","0.0","1.7"
"Tavon Austin","DAL","0.7","6.5","0.0","1.3","7.0","0.0","0.0","1.6"
"Andre Holmes","BUF","0.9","10.7","0.1","0.0","0.0","0.0","0.0","1.5"
"Shelton Gibson","PHI","0.9","11.1","0.1","0.0","0.2","0.0","0.1","1.5"
"Kevin White","CHI","0.9","10.8","0.1","0.1","0.6","0.0","0.0","1.4"
"Chris Moore","BAL","0.8","9.3","0.1","0.1","0.2","0.0","0.0","1.3"
"David Moore","SEA","0.8","9.7","0.1","0.0","0.0","0.0","0.0","1.3"
"De'Anthony Thomas","KC","0.8","8.5","0.1","0.0","0.3","0.0","0.0","1.3"
"Josh Reynolds","LAR","0.6","7.1","0.1","0.1","0.7","0.0","0.0","1.3"
"Markus Wheaton","PHI","0.6","6.5","0.1","0.0","0.0","0.0","0.0","1.0"
"DaeSean Hamilton","DEN","0.6","7.5","0.1","0.0","0.1","0.0","0.0","1.0"
"Darrius Heyward-Bey","PIT","0.4","6.0","0.0","0.0","0.7","0.0","0.0","0.9"
"Damiere Byrd","CAR","0.4","4.6","0.1","0.0","0.2","0.0","0.0","0.8"
"Marcus Kemp","KC","0.4","5.4","0.0","0.0","0.0","0.0","0.0","0.8"
"Jaydon Mickens","JAC","0.4","4.8","0.0","0.0","0.0","0.0","0.0","0.7"
"Cameron Meredith","NO","0.6","7.4","0.0","0.0","0.1","0.0","0.1","0.7"
"Russell Shepard","NYG","0.5","6.3","0.0","0.0","0.0","0.0","0.0","0.7"
"J'Mon Moore","GB","0.5","6.1","0.0","0.0","0.0","0.0","0.0","0.7"
"Tim Patrick","DEN","0.5","6.0","0.0","0.0","0.0","0.0","0.0","0.7"
"Josh Bellamy","CHI","0.4","6.2","0.0","0.0","0.2","0.0","0.0","0.6"
"Josh Malone","CIN","0.4","4.0","0.0","0.0","0.0","0.0","0.0","0.6"
"Pharoh Cooper","LAR","0.6","5.2","0.0","0.0","0.2","0.0","0.0","0.6"
"Sammie Coates","HOU","0.3","5.2","0.0","0.0","0.0","0.0","0.0","0.6"
"Michael Campanaro","TEN","0.4","5.2","0.0","0.0","0.1","0.0","0.0","0.6"
"Ryan Switzer","PIT","0.3","4.0","0.0","0.0","0.3","0.0","0.0","0.5"
"Andy Jones","DET","0.3","4.0","0.0","0.0","0.0","0.0","0.0","0.5"
"Charone Peake","NYJ","0.4","4.3","0.0","0.0","0.0","0.0","0.0","0.5"
"Keon Hatcher","OAK","0.3","3.9","0.0","0.0","0.0","0.0","0.0","0.5"
"Demarcus Robinson","KC","0.4","4.9","0.0","0.0","0.0","0.0","0.0","0.5"
"Alex Erickson","CIN","0.3","3.6","0.0","0.1","0.2","0.0","0.0","0.5"
"Maurice Harris","WAS","0.2","3.4","0.0","0.0","0.0","0.0","0.0","0.5"
"Jordan Taylor","DEN","0.4","3.9","0.0","0.0","0.0","0.0","0.0","0.5"
"Noah Brown","DAL","0.2","3.3","0.0","0.0","0.0","0.0","0.0","0.4"
"Dwayne Harris","OAK","0.3","3.8","0.0","0.0","0.0","0.0","0.0","0.4"
"Cody Core","CIN","0.4","3.9","0.0","0.0","0.0","0.0","0.0","0.4"
"Richie James","SF","0.3","4.2","0.0","0.0","0.1","0.0","0.0","0.4"
"Bradley Marquez","DET","0.3","3.7","0.0","0.0","0.0","0.0","0.0","0.4"
"Trevor Davis","GB","0.3","3.7","0.0","0.0","0.1","0.0","0.0","0.4"
"Andre Roberts","NYJ","0.4","4.2","0.0","0.1","0.1","0.0","0.0","0.4"
"Geremy Davis","LAC","0.3","3.5","0.0","0.0","0.1","0.0","0.0","0.4"
"Zach Pascal","IND","0.3","3.7","0.0","0.0","0.0","0.0","0.0","0.4"
"Justin Watson","TB","0.3","3.9","0.0","0.0","0.1","0.0","0.0","0.4"
"Riley McCarron","NE","0.3","4.0","0.0","0.0","0.0","0.0","0.0","0.4"
"Mike Thomas","LAR","0.2","4.0","0.0","0.0","0.0","0.0","0.0","0.4"
"Marquez Valdes-Scantling","GB","0.3","3.5","0.0","0.0","0.0","0.0","0.0","0.4"
"Russell Gage","ATL","0.3","3.8","0.0","0.0","0.1","0.0","0.0","0.4"
"Reggie Davis","PHI","0.3","3.8","0.0","0.0","0.1","0.0","0.0","0.4"
"Darius Jennings","TEN","0.2","3.0","0.0","0.0","0.0","0.0","0.0","0.4"
"Tommylee Lewis","NO","0.3","3.0","0.0","0.0","0.1","0.0","0.0","0.4"
"Marcus Johnson","IND","0.3","2.9","0.0","0.0","0.0","0.0","0.0","0.3"
"Freddie Martino","TB","0.2","3.1","0.0","0.0","0.0","0.0","0.0","0.3"
"Kendrick Bourne","SF","0.2","3.1","0.0","0.0","0.0","0.0","0.0","0.3"
"Equanimeous St. Brown","GB","0.3","3.2","0.0","0.0","0.1","0.0","0.0","0.3"
"J.J. Jones","LAC","0.2","2.6","0.0","0.0","0.0","0.0","0.0","0.3"
"Marvin Hall","ATL","0.2","2.5","0.0","0.0","0.0","0.0","0.0","0.3"
"Auden Tate","CIN","0.2","2.9","0.0","0.0","0.1","0.0","0.0","0.3"
"Janarion Grant","BAL","0.2","2.2","0.0","0.0","0.0","0.0","0.0","0.3"
"Rashad Greene","JAC","0.2","2.1","0.0","0.0","0.0","0.0","0.0","0.3"
"Matt Slater","NE","0.2","2.0","0.0","0.0","0.0","0.0","0.0","0.3"
"Vyncint Smith","HOU","0.2","2.0","0.0","0.0","0.0","0.0","0.0","0.3"
"Ray-Ray McCloud","BUF","0.2","2.5","0.0","0.0","0.1","0.0","0.0","0.3"
"Robert Foster","BUF","0.2","2.0","0.0","0.0","0.0","0.0","0.0","0.3"
"Stacy Coley","MIN","0.2","2.3","0.0","0.0","0.0","0.0","0.0","0.2"
"Javon Wims","CHI","0.2","2.2","0.0","0.0","0.1","0.0","0.0","0.2"
"Tanner McEvoy","MIA","0.1","1.8","0.0","0.0","0.0","0.0","0.0","0.2"
"Trey Quinn","WAS","0.1","1.5","0.0","0.0","0.0","0.0","0.0","0.2"
"Trent Sherfield","ARI","0.1","1.5","0.0","0.0","0.0","0.0","0.0","0.2"
"Brandon Zylstra","MIN","0.1","1.5","0.0","0.0","0.0","0.0","0.0","0.2"
"Kaelin Clay","NYG","0.1","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Cam Sims","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Leonte Carroo","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brandon Powell","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tanner Gentry","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jace Billingsley","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Braxton Berrios","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mose Frazier","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Aaron Burbridge","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jimmy Williams","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Carlos Henderson","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Damion Ratley","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Shaq Roland","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Marcell Ateman","OAK","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Matt Hazel","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Justin Hardee","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"George Odum","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"K.J. Brent","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"River Cracraft","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Derrick Willies","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Braxton Miller","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jehu Chesson","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cam Batson","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jordan Lasley","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chad Hansen","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dylan Cantrell","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Deontay Burnett","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Sergio Bailey","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Darren Andrews","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Isaiah McKenzie","DEN","0.1","1.0","0.0","0.0","0.1","0.0","0.1","-0.1"
""
""
