"Player","Team","REC","YDS","TDS","FL","FPTS"
"Durham Smythe","MIA","0.3","2.9","0.0","0.0","0.3"
"Ben Braunecker","CHI","0.2","2.2","0.0","0.0","0.3"
"Joshua Perkins","PHI","0.2","2.7","0.0","0.0","0.3"
"Alex Ellis","KC","0.1","1.6","0.0","0.0","0.3"
"Dalton Schultz","DAL","0.2","2.2","0.0","0.0","0.2"
"Anthony Firkser","TEN","0.2","2.0","0.0","0.0","0.2"
"Mason Schreck","CIN","0.2","2.0","0.0","0.0","0.2"
"Darrell Daniels","SEA","0.2","1.5","0.0","0.0","0.2"
"Scott Simonson","NYG","0.2","1.8","0.0","0.0","0.2"
"Logan Paulsen","ATL","0.2","1.7","0.0","0.0","0.2"
"Xavier Grimble","PIT","0.2","1.4","0.0","0.0","0.2"
"Richard Rodgers","PHI","0.0","0.0","0.0","0.0","0.0"
"Stephen Anderson","NE","0.0","0.0","0.0","0.0","0.0"
"Temarrick Hemingway","LAR","0.0","0.0","0.0","0.0","0.0"
"Austin Roberts","LAC","0.0","0.0","0.0","0.0","0.0"
"Ryan Malleck","PIT","0.0","0.0","0.0","0.0","0.0"
"Ryan Hewitt","IND","0.0","0.0","0.0","0.0","0.0"
"Henry Krieger Coble","LAR","0.0","0.0","0.0","0.0","0.0"
"Matt Lengel","HOU","0.0","0.0","0.0","0.0","0.0"
"Thomas Duarte","LAC","0.0","0.0","0.0","0.0","0.0"
"Garrett Griffin","NO","0.0","0.0","0.0","0.0","0.0"
"Jevoni Robinson","HOU","0.0","0.0","0.0","0.0","0.0"
"Clark Harris","CIN","0.0","0.0","0.0","0.0","0.0"
""
""
